OrgId,MeterId,MeterName,Date,BillingPeriodStartDate,BillingPeriodEndDate,MeterUsage,IPU,Scalar,MetricCategory,OrgName,OrgType,IPURate
aOVWwNVWSwWdbFGkXhLgef,3e7ccb904b3011eebe5602,Taskflow Run,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,2.0000000000,0.000000000000,THOUSAND_RUNS,RUNS,NorthCap Consulting Development,SubOrg,0.000000
aOVWwNVWSwWdbFGkXhLgef,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,9.500000
aOVWwNVWSwWdbFGkXhLgef,4c6fec02782546879713aa,Application  Integration with Advanced Serverless,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,3.0000000000,0.007500000000,THOUSAND_API_CALLS,API_CALLS,NorthCap Consulting Development,SubOrg,2.500000
aOVWwNVWSwWdbFGkXhLgef,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,2.0000000000,0.000016600000,HUNDREDK_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,0.830000
aOVWwNVWSwWdbFGkXhLgef,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,41.600000
aOVWwNVWSwWdbFGkXhLgef,a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.2205590000,0.035289440000,HOURS,COMPUTE_UNITS,NorthCap Consulting Development,SubOrg,0.160000
aOVWwNVWSwWdbFGkXhLgef,cPnPIT3XYAziLqIoXtd0KC,Data Quality,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.1256005555,0.047728211111,HOURS,COMPUTE_UNITS,NorthCap Consulting Development,SubOrg,0.380000
aOVWwNVWSwWdbFGkXhLgef,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,0.600000
aOVWwNVWSwWdbFGkXhLgef,3e7ccb904b3011eebe5602,Taskflow Run,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,20.0000000000,0.000000000000,THOUSAND_RUNS,RUNS,NorthCap Consulting Development,SubOrg,0.000000
aOVWwNVWSwWdbFGkXhLgef,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,2.0000000000,0.001900000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,9.500000
aOVWwNVWSwWdbFGkXhLgef,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,3.0000000000,0.000024900000,HUNDREDK_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,0.830000
aOVWwNVWSwWdbFGkXhLgef,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,41.600000
aOVWwNVWSwWdbFGkXhLgef,a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.3616650000,0.057866400000,HOURS,COMPUTE_UNITS,NorthCap Consulting Development,SubOrg,0.160000
aOVWwNVWSwWdbFGkXhLgef,cPnPIT3XYAziLqIoXtd0KC,Data Quality,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0351433333,0.013354466667,HOURS,COMPUTE_UNITS,NorthCap Consulting Development,SubOrg,0.380000
aOVWwNVWSwWdbFGkXhLgef,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,NorthCap Consulting Development,SubOrg,0.600000

6hkRGTwQ7YVbcZbQuK5Cci,a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0869480000,0.013911680000,HOURS,COMPUTE_UNITS,NorthCap Consulting LLC Trainees,SubOrg,0.160000
6hkRGTwQ7YVbcZbQuK5Cci,a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0066670000,0.001066720000,HOURS,COMPUTE_UNITS,NorthCap Consulting LLC Trainees,SubOrg,0.160000

67GO5CVhyblbajDfI6Lx2B,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,368.0000000000,0.349600000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,9.500000
67GO5CVhyblbajDfI6Lx2B,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,27970.0000000000,0.232151000000,HUNDREDK_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,0.830000
67GO5CVhyblbajDfI6Lx2B,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,35.0000000000,0.145600000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,41.600000
67GO5CVhyblbajDfI6Lx2B,c6ksUl786egib9ZAPb0OYf,Sub Organizations IPU Usage,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,null,0.104445931111,IPU,ORGS,NorthCap Consulting LLC,Production,null
67GO5CVhyblbajDfI6Lx2B,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-12-15 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,0.600000
67GO5CVhyblbajDfI6Lx2B,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,368.0000000000,0.349600000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,9.500000
67GO5CVhyblbajDfI6Lx2B,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,27970.0000000000,0.232151000000,HUNDREDK_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,0.830000
67GO5CVhyblbajDfI6Lx2B,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,35.0000000000,0.145600000000,TENK_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,41.600000
67GO5CVhyblbajDfI6Lx2B,c6ksUl786egib9ZAPb0OYf,Sub Organizations IPU Usage,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,null,0.074212486667,IPU,ORGS,NorthCap Consulting LLC,Production,null
67GO5CVhyblbajDfI6Lx2B,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-12-16 00:00:00.0,2025-11-18 00:00:00.0,2025-12-17 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,NorthCap Consulting LLC,Production,0.600000
